SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
22-Sep-21,Sep-21,2021,6700 Pine Ln,Frisco,TX,75036,"$234,000.00 ",2,1,Boyd Acres,966,4661,3695,1982,39,$242.24 ,,14597130,33.117459,-96.901635
9-Mar-21,Mar-21,2021,11509 Parade Dr,Frisco,TX,75036,"$325,000.00 ",4,2,The Shores At Hidden Cove Phas,2018,6055,4037,2016,5,$161.05 ,53,14500994,33.1400005,-96.9322142
31-Aug-22,Aug-22,2022,11416 Sadie St,Frisco,TX,75036,"$479,900.00 ",3,2,The Shores At Hidden Cove Phas,1874,6011,4137,2015,7,$256.08 ,64,20118052,33.1411806,-96.9326126
21-Sep-22,Sep-22,2022,4621 Coney Island Dr,Frisco,TX,75036,"$489,900.00 ",4,3.5,Hidden Cove Ph Three C,2627,7362,4735,2011,11,$186.49 ,51,20101811,33.1453614,-96.9199281
25-Aug-21,Aug-21,2021,6765 Trout Ln,Frisco,TX,75036,"$349,900.00 ",2,2,Frisco Lakes By Del Webb Vil 3,1563,5968,4405,2017,4,$223.86 ,133,14641686,33.1353974,-96.9214376
17-Jan-22,Jan-22,2022,4716 Ray Roberts,Frisco,TX,75034,"$500,000.00 ",4,2.5,Hidden Cove,2243,7928,5685,2018,4,$222.92 ,37,14720506,33.1420893,-96.9308443
19-Jul-21,Jul-21,2021,3222 Bobber St,Frisco,TX,75036,"$325,000.00 ",3,2,Frisco Lakes By Del Webb Villa,1471,5227,3756,2017,4,$220.94 ,135,14613278,33.1368401,-96.9214376
12-Jul-21,Jul-21,2021,4716 Woodard Ln,Frisco,TX,75036,"$443,000.00 ",5,3,The Shores At Hidden Cove Phas,3429,8015,4586,2016,5,$129.19 ,53,14601374,33.1419634,-96.9264965
18-Mar-22,Mar-22,2022,12713 Skeeter Dr,Frisco,TX,75036,"$393,000.00 ",3,2,Hidden Cove Ph One,1452,5097,3645,2006,16,$270.66 ,51,14763410,33.1424741,-96.9156822
30-Apr-21,Apr-21,2021,11908 Clearpoint Ct,Frisco,TX,75036,"$325,400.00 ",4,2,Shores at Hidden Cove,1852,5489,3637,2016,5,$175.70 ,13,14538543,33.1406377,-96.9270522
16-Sep-21,Sep-21,2021,2517 Oyster Bay Dr,Frisco,TX,75036,"$535,000.00 ",2,2,Frisco Lakes By Del Webb Villa,1935,6055,4120,2013,8,$276.49 ,135,14640012,33.139439,-96.914949
17-Dec-21,Dec-21,2021,144 Price Cir,Frisco,TX,75036,"$289,900.00 ",3,2,Lake Country Estates,1362,10149,8787,2007,14,$212.85 ,,14712508,33.1531499,-96.9190057
18-Mar-22,Mar-22,2022,100 Price Cir,Hackberry,TX,75036,"$280,000.00 ",3,2,Lake Country Estates,1267,12023,10756,2006,16,$220.99 ,,14755727,33.1543741,-96.9186074
13-May-22,May-22,2022,4625 Lake Cove Way,Frisco,TX,75036,"$560,000.00 ",4,3.5,The Shores At Hidden Cove Phas,3007,6403,3396,2017,5,$186.23 ,64,20028847,33.1426109,-96.9293192
31-Mar-21,Mar-21,2021,121 Price Cir,Hackberry,TX,75036,"$230,000.00 ",3,2,Lake Country Estates,1362,10411,9049,2006,15,$168.87 ,,14527086,33.1518921,-96.9180414
10-Sep-21,Sep-21,2021,12009 Saint Croix Dr,Frisco,TX,75036,"$345,000.00 ",3,2,The Shores At Hidden Cove Phas,1872,5663,3791,2012,9,$184.29 ,53,14658006,33.1403111,-96.9262386
